NomeUC;Cnuc;CriacaoAno;AreaHaAlb;PerimM;CriacaoAto;EsferaAdm;SiglaCateg;GrupoUC;UFAbrang;BiomaIBGE;BiomaCRL;GRegional;FusoAbrang;Demarcacao;EscalaUC;NGI
ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;0000.00.0001;1992;4436,59022726871;36563,4553;DEC  528 de 20/05/1992;Federal;APA;US;SC;MATA ATLÂNTICA;MATA ATLÂNTICA e MARINHO COSTEIRO;GR5;22S;Dado não disponível;Dado não disponível;ICMBio Florianópolis
ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;0000.00.1521;1982;292599,92425641400;1073712,9591;DEC  87.561 de 13/09/1982;Federal;APA;US;MG/RJ/SP;MATA ATLÂNTICA;MATA ATLÂNTICA;GR4;23S;Dado não disponível;Dado não disponível;ICMBio Rio Paraíba do Sul
ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA;0000.00.0020;1996;37735,57723978440;137567,4012;"DEC 98.881 de 25/01/1990; DEC 1.876 de 25/04/1996";Federal;APA;US;MG;CERRADO;CERRADO;GR4;23S;Dado não disponível;Dado não disponível;Não nucleada
ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU;0000.00.0002;1989;143355,58571885300;225638,8150;DEC  98.182 de 26/09/1989;Federal;APA;US;MG;CERRADO;CAATINGA e CERRADO;GR4;23S;Dado não disponível;Dado não disponível;ICMBio Peruaçu
ÁREA DE PROTEÇÃO AMBIENTAL COSTA DAS ALGAS;0000.00.1912;2010;115001,92224390600;219217,4612;DEC S/N de 17/06/2010;Federal;APA;US;ES;MARINHO COSTEIRO;MARINHO COSTEIRO;GR4;24S;Dado não disponível;Dado não disponível;Não nucleada
ÁREA DE PROTEÇÃO AMBIENTAL DA ARARINHA AZUL;0000.00.3696;2018;90641,91773440710;271274,2536;DEC 9.402 de 05/06/2018;Federal;APA;US;BA;CAATINGA;CAATINGA;GR2;24S;Dado não disponível;Dado não disponível;ICMBio Juazeiro
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO;0000.00.0003;1983;41783,61394666470;93435,2029;DEC  88.940 de 07/11/1983;Federal;APA;US;GO/DF;CERRADO;CERRADO;GR3;22S;Dado não disponível;Dado não disponível;ICMBio Descoberto-Brasília
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU;0000.00.0004;1983;82680,80363523200;176700,7087;DEC  88.940 de 07/11/1983;Federal;APA;US;DF;CERRADO;CERRADO;GR3;23S;Dado não disponível;Dado não disponível;Não nucleada
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO/MICO-LEÃO-DOURADO;0000.00.0005;2002;150374,60677371700;369887,7805;DEC S/N de 27/06/2002;Federal;APA;US;RJ;MATA ATLÂNTICA;MATA ATLÂNTICA;GR4;23S;Dado não disponível;Dado não disponível;ICMBio Mico-Leão-Dourado
ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;0000.00.0006;2000;154867,40351635500;405831,5484;DEC S/N de 14/09/2000;Federal;APA;US;SC;MATA ATLÂNTICA;MATA ATLÂNTICA e MARINHO COSTEIRO;GR5;22S;Dado não disponível;Dado não disponível;Não nucleada
