Reino;Filo;Classe;Ordem;Família;Gênero;Nome Científico;Autor;Nome Comum;Grupo;Categoria;Consta em Lista Nacional Oficial;Estado;Região;Bioma;Bacia Hidrográfica;Unidade de Conservação Federal;Unidade de Conservação Estadual;RPPN
Animalia;Chordata;Actinopterygii;Characiformes;Parodontidae;Apareiodon;Apareiodon davisi;Fowler, 1941;Peixe-rei;Peixes Continentais;Em Perigo;Sim;Ceará, Paraíba, Pernambuco, Rio Grande do Norte;Nordeste;Caatinga, Mata Atlântica;"Sub-bacia Jaguaribe
Sub-bacia Litoral CE PB
Sub-bacia Paraíba
Sub-bacia São Francisco Baixo";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Myleus;Myloplus tiete;(Eigenmann & Norris, 1900);Pacu-prata;Peixes Continentais;Em Perigo;Sim;Goiás, Mato Grosso do Sul, Minas Gerais, Paraná, São Paulo;Centro-Oeste, Sudeste, Sul;Cerrado, Mata Atlântica;"Sub-bacia Grande
Sub-bacia Paranaíba
Sub-bacia Paraná RH1
Sub-bacia São Francisco Médio";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Brycon;Brycon devillei;(Castelnau, 1855);Piabinha;Peixes Continentais;Em Perigo;Sim;Bahia, Minas Gerais;Nordeste, Sudeste;Cerrado, Mata Atlântica;"Sub-bacia Doce
Sub-bacia  Jequitinhonha";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Bryconamericus;Bryconamericus lambari;Malabarba & Kindel, 1995;Lambari;Peixes Continentais;Em Perigo;Sim;Rio Grande do Sul;Sul;Mata Atlântica;Sub-bacia Guaíba;;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Diapoma;Diapoma pyrrhopteryx;Menezes & Weitzman, 2011;Lambari;Peixes Continentais;Em Perigo;Sim;Rio Grande do Sul, Santa Catarina;Sul;Mata Atlântica, Pampa;"Sub-bacia Uruguai Alto
Sub-bacia Uruguai Médio";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Henochilus;Henochilus wheatlandii;Garman, 1890;Andirá;Peixes Continentais;Criticamente em Perigo;Sim;Minas Gerais;Sudeste;Mata Atlântica;Sub-bacia Doce;;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Hollandichthys;Hollandichthys taramandahy;Bertaco & Malabarba, 2013;Lambari-listrado;Peixes Continentais;Em Perigo;Sim;Rio Grande do Sul, Santa Catarina;Sul;Mata Atlântica;"Sub-bacia Litoral RS
Sub-bacia Litoral SP PR SC";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Rachoviscus;Rachoviscus crassiceps;Myers, 1926;Lambari-da-restinga;Peixes Continentais;Em Perigo;Sim;Paraná, Santa Catarina, São Paulo;Sudeste, Sul;Mata Atlântica;"Sub-bacia Litoral SP
Sub-bacia Litoral SP PR SC";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Spintherobolus;Spintherobolus leptoura;Weitzman & Malabarba, 1999;Lambari;Peixes Continentais;Em Perigo;Sim;Paraná, São Paulo;Sudeste, Sul;Mata Atlântica;"Sub-bacia Litoral RJ SP
Sub-bacia Litoral SP PR SC";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Stygichthys;Stygichthys typhlops;Brittan & Böhlke, 1965;Piaba-branca;Peixes Continentais;Em Perigo;Sim;Minas Gerais;Sudeste;Caatinga, Cerrado;Sub-bacia São Francisco Médio;;;
Animalia;Chordata;Actinopterygii;Characiformes;Crenuchidae;Characidium;Characidium vestigipinne;Buckup & Hahn, 2000;;Peixes Continentais;Criticamente em Perigo;Sim;Rio Grande do Sul;Sul;Mata Atlântica;Sub-bacia Uruguai Alto;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Doradidae;Kalyptodoras;Kalyptodoras bahiensis;Higuchi, Britski & Garavello, 1990;Peracuca;Peixes Continentais;Em Perigo;Sim;Bahia;Nordeste;Caatinga, Mata Atlântica;Sub-bacia Itapecuru-Paraguaçu;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Pimelodidae;Steindachneridion;Steindachneridion amblyurum;(Eigenmann & Eigenmann, 1888);Surubim-do-jequitinhonha;Peixes Continentais;Criticamente em Perigo;Sim;Minas Gerais;Sudeste;Cerrado, Mata Atlântica;Sub-bacia  Jequitinhonha;;;
